cdcr_code,name,average_2025_population,hazard_score,exposure_score,vulnerability_score,risk_score_equal_mult,risk_score_additive_25_25_50,risk_score_mult_vsq,rank_equal_mult,rank_additive_25_25_50,rank_mult_vsq,tract_geoid,Pct_GroupQuarters,vcp_own_tract_ExHeatHealth_Idx,vcp_own_tract_heat_hazard_fut,vcp_own_tract_INDEX_PCTL,n_neighbors,vcp_community_ExHeatHealth_Idx
ASP,Avenal State Prison,3891.0,0.59,0.47,0.19,19.95,12.82,7.86,20,23,24,06031981800,100.0,66.71,,,1,56.34
CAL,Calipatria State Prison,2462.0,0.71,0.22,0.21,12.42,5.13,5.41,24,29,27,06025010101,98.2685297691373,92.16,1.46,99.58,4,86.88
CCI,California Correctional Institution,2434.0,0.54,0.51,0.31,32.32,32.48,20.77,16,18,16,06029006002,100.0,35.76,,,3,70.69
CCWF,Central California Women'S Facility,2040.0,0.74,0.43,0.3,36.14,41.03,22.48,14,16,15,06039000201,79.31279284395853,82.8,1.24,88.52,7,72.66
CEN,Centinela State Prison,2984.0,0.8,0.07,0.24,5.09,5.13,2.53,30,28,29,06025012301,78.05897376364058,69.15,1.62,83.34,10,76.3
CHCF,California Health Care Facility,2251.0,0.66,0.09,0.72,16.19,76.92,24.17,22,6,13,06077005131,42.2014878325558,82.27,1.02,93.22,9,69.94
CIM,California Institution For Men,2274.0,0.79,0.52,0.53,82.43,92.31,90.56,3,3,3,06071012202,100.0,91.19,,,7,26.23
CIW,California Institution For Women,1187.0,0.72,0.54,0.29,42.69,47.01,25.66,10,13,12,06071001907,7.753803166718411,33.65,0.73,30.08,4,17.16
CMC,California Men'S Colony,2172.0,0.1,0.33,0.5,6.25,11.97,6.47,29,24,26,06079011400,100.0,83.13,,,2,44.81
CMF,California Medical Facility,2045.0,0.49,0.49,0.66,60.0,86.32,82.08,4,4,4,06095253000,100.0,71.03,,,4,56.36
COR,"California State Prison, Corcoran",2629.0,0.87,0.66,0.46,100.0,99.15,95.35,1,2,2,06031980100,100.0,79.57,,,4,86.1
CRC,California Rehabilitation Center,2330.0,0.69,0.43,0.29,32.58,35.04,19.58,15,17,18,06065046601,81.02998696219035,41.25,0.85,75.44,4,59.46
CTF,Correctional Training Facility,4225.0,0.27,0.37,0.39,14.75,11.11,11.92,23,26,21,06053010900,100.0,54.17,,,2,71.35
FOL,Folsom State Prison,2777.0,0.6,0.44,0.3,29.99,29.91,18.65,17,19,20,06067988300,99.46404644930773,38.85,0.93,32.1,4,54.58
HDSP,High Desert State Prison,2719.0,0.53,0.39,0.34,26.61,26.5,18.75,19,20,19,06035040400,83.94453803291434,33.47,0.94,77.97,4,74.97
ISP,Ironwood State Prison,2764.0,0.93,0.0,0.29,0.0,18.8,0.0,31,21,31,06065981000,100.0,53.67,,,1,86.03
KVSP,Kern Valley State Prison,3092.0,0.79,0.33,0.42,41.45,57.26,36.09,12,10,9,06029004603,100.0,55.02,,,1,78.48
LAC,California State Prison-Los Angeles County,2949.0,0.75,0.3,0.56,47.7,75.21,55.38,7,7,6,06037901003,100.0,50.09,,,5,46.97
MCSP,Mule Creek State Prison,3761.0,0.54,0.29,0.5,29.64,46.15,30.72,18,14,11,06005000301,55.431698419132545,70.7,1.01,84.94,9,64.01
NKSP,North Kern State Prison,2570.0,0.81,0.62,0.24,45.63,52.99,22.7,8,11,14,06029004601,100.0,46.57,,,2,83.3
PBSP,Pelican Bay State Prison,2096.0,0.09,0.65,0.34,7.53,11.11,5.31,28,26,28,06015000201,37.034949267192786,59.75,0.0,46.3,3,80.41
PVSP,Pleasant Valley State Prison,2992.0,0.5,0.41,0.21,16.3,3.42,7.09,21,30,25,06019007903,58.126680609501044,83.13,1.1,63.7,9,77.45
RJD,R J Donovan Correctional Facility,3592.0,0.48,0.37,0.62,41.69,68.38,53.58,11,9,7,06073010016,100.0,51.24,,,6,14.54
SAC,"California State Prison, Sacramento",2131.0,0.6,0.42,0.62,59.15,82.91,76.02,5,5,5,06067988300,99.46404644930773,38.85,0.93,32.1,4,54.58
SATF,Ca Substance Abuse Treatment Facility,5358.0,0.87,0.61,0.49,98.45,100.0,100.0,2,1,1,06031980100,100.0,79.57,,,4,86.1
SCC,Sierra Conservation Center,4035.0,0.62,0.49,0.09,10.35,0.0,1.93,27,31,30,06109985202,100.0,34.59,,,1,82.1
SOL,"California State Prison, Solano",3735.0,0.49,0.63,0.38,44.41,50.43,34.98,9,12,10,06095253000,100.0,71.03,,,4,56.36
SQ,San Quentin State Prison,2688.0,0.36,0.18,0.46,11.29,14.53,10.76,25,22,22,06041122000,100.0,60.36,,,2,35.16
SVSP,Salinas Valley State Prison,2387.0,0.27,0.23,0.46,10.82,11.11,10.31,26,26,23,06053010900,100.0,54.17,,,2,71.35
VSP,Valley State Prison,3148.0,0.74,0.36,0.5,50.43,69.23,52.27,6,8,8,06039000201,79.31279284395853,82.8,1.24,88.52,7,72.66
WSP,Wasco State Prison,3676.0,0.76,0.59,0.24,40.74,46.15,20.27,13,14,17,06029004302,100.0,37.34,,,2,61.16
